dataset,model,defense,attack,num_examples,accuracy,clean_accuracy_on_attack_set,conditional_robust_accuracy,overall_robust_accuracy,attack_success_rate,num_successes,num_failures,num_skipped,valid_examples,avg_perturbed_words,avg_queries,query_budget,seed,mask_rate,ahp_pruning,ahp_aggregation,ahp_temperature,ensemble_size
agnews,alpaca-native,none,pruthi,10,0.75,0.8,0.75,0.6,0.25,2,6,2,8,1.0,200.0,200,123,,,,,
agnews,alpaca-native,ahp,pruthi,10,0.6666666666666666,0.9,0.6666666666666666,0.6,0.3333333333333333,3,6,1,9,1.0,200.0,200,123,0.15,none,majority_vote,1.0,50.0
